,Category,Begin Time,End Time,&=crying duration,&=crying density,&=crying max duration,&=crying mean duration
0,,00:00:00.000,00:01:20.490,3.8,0.05,1.2,0.6
1,,00:05:03.110,00:05:32.160,0.3,0.01,0.3,0.3
2,,00:21:41.060,00:23:47.910,44.4,0.35,12.1,2.6
3,,00:30:46.650,00:31:01.240,2.5,0.17,1.8,1.2
4,,00:32:13.610,00:33:17.620,22.8,0.36,3.8,1.5
5,,00:34:24.910,00:36:35.220,100.0,0.77,32.2,8.3
6,,01:03:57.490,01:04:35.180,0.4,0.01,0.2,0.2
7,,01:06:03.880,01:09:39.530,28.4,0.13,4.0,1.1
8,,01:24:49.010,01:24:54.990,3.1,0.52,1.5,0.7
9,,02:59:13.410,03:01:25.020,2.7,0.02,1.0,0.4
10,,03:05:26.750,03:07:34.610,11.0,0.09,4.5,1.8
11,,03:19:00.430,03:19:36.530,0.3,0.01,0.3,0.3
12,no,03:34:31.230,03:35:08.570,0.8,0.02,0.8,0.8
13,no,03:36:34.750,03:37:12.570,0.7,0.02,0.5,0.3
14,yes,03:39:50.400,03:41:52.800,13.0,0.11,3.1,1.0
15,yes,03:54:43.870,03:55:35.840,2.5,0.05,1.9,0.8
16,yes,04:01:42.230,04:04:51.240,49.0,0.26,7.6,1.3
17,yes,04:18:47.540,04:19:20.450,7.9,0.24,2.6,0.9
18,yes,04:21:28.520,04:22:06.210,8.1,0.21,4.2,1.1
19,no,04:23:52.380,04:23:56.350,0.9,0.23,0.8,0.4
20,no,04:32:54.320,04:33:29.590,1.3,0.04,1.1,0.6
21,no,04:39:34.080,04:40:05.910,1.0,0.03,0.6,0.5
22,yes,04:44:15.980,04:45:40.020,5.0,0.06,2.3,0.7
23,yes,04:57:56.030,04:58:18.740,0.7,0.03,0.4,0.3
24,yes,05:09:38.370,05:11:13.740,5.5,0.06,2.8,0.9
25,yes,05:12:27.170,05:13:23.500,21.7,0.39,4.9,1.4
26,,06:35:58.690,06:36:51.880,1.6,0.03,1.1,0.8
27,,07:23:16.150,07:23:34.180,3.0,0.17,2.0,1.5
28,,07:26:55.680,07:27:14.940,1.0,0.05,0.8,0.5
29,,07:29:32.920,07:30:28.360,3.3,0.06,1.0,0.8
30,,07:32:49.260,07:34:20.930,6.5,0.07,1.2,0.8
31,,07:36:29.840,07:38:21.160,4.5,0.04,1.5,0.6
32,,07:42:56.690,07:44:31.930,20.3,0.21,3.5,1.1
33,,07:52:47.060,07:53:58.690,2.5,0.03,1.6,0.8
34,,07:58:33.490,07:59:22.790,0.6,0.01,0.6,0.6
35,,08:01:37.970,08:02:01.650,0.3,0.01,0.3,0.3
36,,08:04:17.640,08:04:32.680,1.6,0.11,0.9,0.8
37,,08:06:25.900,08:10:54.390,74.2,0.28,12.0,1.4
38,,08:12:05.920,08:13:09.290,4.9,0.08,2.9,1.2
39,,08:15:28.070,08:16:19.310,1.1,0.02,0.7,0.5
40,,08:17:24.430,08:18:22.000,1.3,0.02,0.7,0.6
41,,08:22:15.540,08:30:41.310,239.7,0.47,22.6,3.9
42,,08:32:58.890,08:33:15.260,12.1,0.74,9.5,4.0
43,,09:06:24.800,09:07:29.080,10.5,0.16,8.1,2.6
44,,09:13:21.530,09:13:54.100,2.6,0.08,2.1,0.8
45,,09:53:46.890,09:56:38.020,44.0,0.26,9.1,1.5
46,,10:01:53.980,10:07:12.000,8.1,0.03,1.2,0.5
47,,10:10:14.940,10:10:16.210,1.0,0.79,1.0,1.0
48,,10:11:37.770,10:12:48.500,1.7,0.02,0.7,0.3
49,,10:15:15.610,10:15:22.680,0.8,0.11,0.5,0.4
50,,10:16:35.870,10:17:18.780,0.3,0.01,0.3,0.3
51,,10:21:57.390,10:23:17.930,1.1,0.01,0.6,0.3
52,,10:24:39.510,10:30:37.560,215.4,0.60,26.8,4.2
53,,10:39:41.010,10:40:48.070,7.2,0.11,1.1,0.8
54,,11:20:11.090,11:21:42.510,48.9,0.53,27.3,3.0
55,,11:22:58.310,11:25:19.850,100.7,0.71,20.1,4.5
56,,11:31:28.720,11:32:33.720,3.3,0.05,2.4,1.1
57,,11:35:52.690,11:37:29.440,27.8,0.29,16.6,2.7
58,,11:40:51.170,11:41:00.260,1.0,0.11,0.5,0.5
59,,11:42:14.360,11:43:21.240,20.4,0.31,4.5,1.2
60,,11:46:49.360,11:47:51.190,1.9,0.03,0.7,0.6
61,,11:52:02.080,11:52:42.340,4.2,0.10,2.2,1.4
62,,11:53:49.740,11:54:03.440,2.1,0.15,0.8,0.7
63,,12:08:03.160,12:08:18.670,1.0,0.06,0.9,0.5
64,,12:09:38.570,12:10:21.280,1.9,0.04,1.6,0.9
65,,12:12:49.030,12:14:01.930,10.6,0.15,3.4,1.5
66,,12:16:31.200,12:16:41.060,7.2,0.73,6.1,2.4
67,,13:19:29.000,13:29:33.420,95.1,0.16,6.2,1.2
68,,13:32:11.210,13:33:22.600,2.4,0.03,1.3,0.6
69,,14:55:05.350,14:56:02.740,9.2,0.16,2.6,1.1
70,,15:00:27.830,15:05:00.630,53.3,0.20,12.5,1.7
71,,15:07:01.230,15:08:07.140,1.6,0.02,1.1,0.8
72,,15:28:41.220,15:29:35.590,4.1,0.08,1.2,0.5
73,,15:32:11.660,15:33:09.580,0.3,0.01,0.3,0.3
74,,15:41:02.860,15:44:23.550,14.6,0.07,2.9,0.7
75,,15:46:46.640,15:47:26.620,4.7,0.12,1.4,0.6
76,,15:48:31.700,15:52:02.370,63.5,0.30,9.5,3.0
